Abazin,0.1079895,0.07553,-0.0231456,-0.0175631,-0.0323136,0.0003835,0.0081666,-0.0031151,-0.0499037,-0.0222784,-0.0015832,0.0053015,-0.0179136,0.0037846,0.0010858,-0.0114026,0.0085728,-0.0037531,-0.0067406,0.0197125,0.009031,0.0006493,-0.0011861,-0.0064315,-0.0026044
Abkhasian,0.1092703,0.1166731,-0.0478942,-0.0406621,-0.0389473,-0.0065696,0.0113851,-0.0063329,-0.0615163,-0.0222932,-0.0019306,0.0098744,-0.0243308,0.0046792,0.0023677,-0.0241902,0.0091268,-0.0054477,-0.0115082,0.0197316,0.0142802,0.0020472,0.0032456,-0.0090506,-0.0019426
Abkhasian_Gudauta,0.1109775,0.1218635,-0.0494025,-0.0369835,-0.0386225,-0.0058565,0.0110455,-0.004269,-0.060846,-0.023235,0.003085,0.013338,-0.0266105,-0.0016515,0.008211,-0.0068945,0.0256855,-0.0031035,-0.0103075,0.0269505,0.012353,-0.0001235,0.003759,-0.005121,-0.0064065
Adygei,0.1128114,0.1033583,-0.0297507,-0.0192364,-0.033442,-0.0020761,0.0091653,-0.0032051,-0.0516992,-0.0242171,0.0006857,0.0075267,-0.0201684,0.0045568,0.0052328,-0.0162349,0.0086777,-0.0046171,-0.0119692,0.0193566,0.0095666,0.000893,0.0026018,-0.0072564,-0.0028472
Aeta,-0.016504,-0.3330935,-0.0923945,0.033269,0.104173,-0.006554,0.00235,-0.0139605,0.004704,0.001458,0.0424645,0.0019485,-0.00721,0.001858,0.004682,6.65e-05,0.0086705,0.007158,0.00088,0.003189,0.003369,-0.0179295,-0.006039,-0.0074705,-0.0543665
Afrikaner,0.1158925,0.1294338,0.0524198,0.0390096,0.0370557,0.0149967,0.0038134,0.0064823,0.006675,0.0051854,-0.0041999,0.004278,-0.008825,-0.0072503,0.0141829,0.0031157,-0.0054702,0.003219,0.0025997,0.0039849,0.0033293,0.0021526,0.0004594,0.0100506,0.0003211
Agta,-0.021057,-0.33157,-0.0956,0.034238,0.104481,-0.0139445,0.0001175,-0.009115,0.0070565,0.0013665,0.0410845,0.004571,-0.00446,-0.0062615,0.003732,0.0002655,0.009453,0.011655,0.0050905,0.0035645,-0.0007485,-0.028193,-0.0115235,-0.0081335,-0.061551
Ahiska,0.1115467,0.1293107,-0.051917,-0.0485577,-0.0333393,-0.009947,0.0050133,-0.006615,-0.0503127,-0.0153687,0.001624,0.01134,-0.0159563,0.0045873,-9.03e-05,-0.0152037,0.0069103,-0.0029137,-0.0069137,0.008254,0.0045337,0.0015663,-0.000698,-0.0060647,-0.0026347
Akha,0.0163146,-0.4336311,-0.0206411,-0.0504526,0.0812767,0.0360884,0.000893,-0.0035383,-0.0065107,-0.0013788,-0.025836,-0.0039765,0.0023737,-0.0025231,-0.003963,-0.0005613,0.0018644,-0.0035769,-0.0063016,0.0042729,-0.0015306,0.0210498,0.0042479,0.0022612,0.0316857
Akhvakh,0.1166687,0.1068846,-0.02181,0.0188147,-0.0406229,0.012736,0.0052484,-0.0025768,-0.0612037,-0.0442076,-0.0064957,0.0068812,-0.0133671,-0.0116405,0.0156758,-0.0012152,0.0005977,-0.0006652,-0.0038128,0.0050753,0.0007591,0.0009068,0.005238,0.0063563,-0.000928
Alawite,0.084229,0.141159,-0.043369,-0.064277,-0.013233,-0.028447,-0.0047,-0.008077,-0.0045,0.00893,0.003248,-0.010341,0.013379,-0.000826,-0.007872,0.009281,0.014864,0.005068,0.002765,-0.000625,-0.002371,0.004946,0.000493,0.00482,-0.002275
